Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.040000,4.160000,3.790000,3.790000,2.017555,6390000
2000-01-04,3.830000,3.900000,3.600000,3.680000,1.958998,10424000
2000-01-05,3.480000,3.670000,3.380000,3.650000,1.943028,11445000
2000-01-06,3.620000,3.770000,3.590000,3.770000,2.006908,5027000
2000-01-07,3.850000,3.980000,3.750000,3.860000,2.054819,7574000
2000-01-10,3.970000,3.970000,3.650000,3.750000,1.996261,7906000
2000-01-11,3.800000,3.830000,3.610000,3.810000,2.028202,6732000
2000-01-12,3.700000,3.910000,3.650000,3.830000,2.038848,5921000
2000-01-13,3.850000,3.940000,3.800000,3.810000,2.028202,5894000
2000-01-14,3.830000,3.950000,3.830000,3.950000,2.102729,3843000
2000-01-17,3.950000,3.980000,3.850000,3.850000,2.049495,4099000
2000-01-18,3.820000,3.940000,3.700000,3.780000,2.012232,5335000
2000-01-19,3.700000,3.860000,3.700000,3.800000,2.022879,9254000
2000-01-20,3.810000,3.950000,3.780000,3.860000,2.054819,12226000
2000-01-21,3.850000,3.900000,3.720000,3.780000,2.012232,6369000
2000-01-24,3.780000,3.840000,3.730000,3.780000,2.012232,4554000
2000-01-25,3.700000,3.820000,3.680000,3.720000,1.980292,4315000
2000-01-26,3.750000,3.970000,3.720000,3.970000,2.113376,11076000
2000-01-27,4.140000,4.330000,4.080000,4.330000,2.305017,20819000
2000-01-28,4.500000,4.670000,4.270000,4.370000,2.326310,24618000
2000-01-31,4.260000,4.420000,4.200000,4.370000,2.326310,9763000
2000-02-01,4.480000,4.490000,4.350000,4.390000,2.336957,6397000
2000-02-02,4.370000,4.430000,4.340000,4.430000,2.358250,6846000
2000-02-03,4.390000,4.780000,4.380000,4.580000,2.438101,16040000
2000-02-04,4.670000,4.820000,4.580000,4.710000,2.507305,11545000
2000-02-07,4.790000,4.990000,4.750000,4.830000,2.571186,11876000
2000-02-08,4.980000,5.310000,4.940000,5.280000,2.810737,15291000
2000-02-09,5.440000,5.520000,4.900000,5.170000,2.752179,20055000
2000-02-10,5.000000,5.300000,4.950000,5.290000,2.816060,11755000
2000-02-11,5.500000,6.200000,5.450000,5.730000,3.050288,19222000
2000-02-14,6.140000,6.700000,6.080000,6.290000,3.348397,21616000
2000-02-15,6.350000,6.530000,5.560000,5.560000,2.959790,18023000
2000-02-16,6.200000,6.250000,5.510000,5.750000,3.060935,18064000
2000-02-17,5.770000,6.100000,5.770000,5.840000,3.108845,12654000
2000-02-18,5.980000,6.070000,5.590000,5.950000,3.167402,12966000
2000-02-21,5.630000,5.970000,5.630000,5.800000,3.087552,7630000
2000-02-22,5.840000,6.000000,5.750000,5.780000,3.076905,7318000
2000-02-23,5.940000,5.960000,5.800000,5.830000,3.103522,6492000
2000-02-24,5.980000,5.980000,5.700000,5.820000,3.098199,7296000
2000-02-25,5.900000,5.940000,5.850000,5.920000,3.151432,5961000
2000-02-28,5.870000,6.300000,5.820000,6.290000,3.348397,11300000
2000-02-29,6.450000,6.570000,6.250000,6.440000,3.428247,12315000
2000-03-01,6.400000,6.540000,6.270000,6.300000,3.353720,7160000
2000-03-02,6.350000,6.500000,6.250000,6.480000,3.449541,4807000
2000-03-03,6.470000,6.500000,6.300000,6.350000,3.380337,5482000
2000-03-06,6.480000,6.490000,6.050000,6.160000,3.279193,6496000
2000-03-07,6.070000,6.200000,5.880000,5.900000,3.140786,9201000
2000-03-08,5.900000,6.080000,5.750000,5.840000,3.108845,9760000
2000-03-09,5.960000,5.980000,5.770000,5.950000,3.167402,11025000
2000-03-10,6.150000,7.100000,6.110000,7.080000,3.768942,37339000
