Date,Open,High,Low,Close,Adj Close,Volume
1987-07-01,4.657560,4.657560,4.657560,4.657560,-111.892776,0
1987-07-02,4.534030,4.534030,4.534030,4.534030,-108.925087,0
1987-07-03,4.575790,4.575790,4.575790,4.575790,-109.928345,0
1987-07-06,4.544470,4.544470,4.544470,4.544470,-109.175911,0
1987-07-07,4.507500,4.507500,4.507500,4.507500,-108.287758,0
1987-07-08,4.565350,4.565350,4.565350,4.565350,-109.677551,0
1987-07-09,4.552730,4.552730,4.552730,4.552730,-109.374336,0
1987-07-10,4.658430,4.658430,4.658430,4.658430,-111.913681,0
1987-07-13,4.596230,4.596230,4.596230,4.596230,-110.419395,0
1987-07-14,4.689310,4.689310,4.689310,4.689310,-112.655548,0
1987-07-15,4.554910,4.554910,4.554910,4.554910,-109.426727,0
1987-07-16,4.699750,4.699750,4.699750,4.699750,-112.906342,0
1987-07-17,4.805440,4.805440,4.805440,4.805440,-115.445427,0
1987-07-20,4.906790,4.906790,4.906790,4.906790,-117.880234,0
1987-07-21,4.948110,4.948110,4.948110,4.948110,-118.872925,0
1987-07-22,4.966820,4.966820,4.966820,4.966820,-119.322418,0
1987-07-23,4.836330,4.836330,4.836330,4.836330,-116.187546,0
1987-07-24,4.782830,4.782830,4.782830,4.782830,-114.902275,0
1987-07-27,4.824150,4.824150,4.824150,4.824150,-115.894920,0
1987-07-28,4.826320,4.826320,4.826320,4.826320,-115.947052,0
1987-07-29,4.844590,4.844590,4.844590,4.844590,-116.385994,0
1987-07-30,4.906790,4.906790,4.906790,4.906790,-117.880234,0
1987-07-31,4.906790,4.906790,4.906790,4.906790,-117.880234,0
1987-08-03,4.906790,4.906790,4.906790,4.906790,-117.880234,0
1987-08-04,4.904620,4.904620,4.904620,4.904620,-117.828140,0
1987-08-05,4.875910,4.875910,4.875910,4.875910,-117.138405,0
1987-08-06,4.948110,4.948110,4.948110,4.948110,-118.872925,0
1987-08-07,4.869820,4.869820,4.869820,4.869820,-116.992104,0
1987-08-10,4.685400,4.685400,4.685400,4.685400,-112.561607,0
1987-08-11,4.513590,4.513590,4.513590,4.513590,-108.434059,0
1987-08-12,4.565350,4.565350,4.565350,4.565350,-109.677551,0
1987-08-13,4.585790,4.585790,4.585790,4.585790,-110.168594,0
1987-08-14,4.585790,4.585790,4.585790,4.585790,-110.168594,0
1987-08-17,4.534030,4.534030,4.534030,4.534030,-108.925087,0
1987-08-18,4.465740,4.465740,4.465740,4.465740,-107.284508,0
1987-08-19,4.492710,4.492710,4.492710,4.492710,-107.932426,0
1987-08-20,4.513590,4.513590,4.513590,4.513590,-108.434059,0
1987-08-21,4.596230,4.596230,4.596230,4.596230,-110.419395,0
1987-08-24,4.637550,4.637550,4.637550,4.637550,-111.412064,0
1987-08-25,4.534030,4.534030,4.534030,4.534030,-108.925087,0
1987-08-26,4.513590,4.513590,4.513590,4.513590,-108.434059,0
1987-08-27,4.575790,4.575790,4.575790,4.575790,-109.928345,0
1987-08-28,4.571440,4.571440,4.571440,4.571440,-109.823853,0
1987-08-31,4.550560,4.550560,4.550560,4.550560,-109.322205,0
1987-09-01,4.575790,4.575790,4.575790,4.575790,-109.928345,0
1987-09-02,4.554910,4.554910,4.554910,4.554910,-109.426727,0
1987-09-03,4.513590,4.513590,4.513590,4.513590,-108.434059,0
1987-09-04,4.536200,4.536200,4.536200,4.536200,-108.977226,0
1987-09-07,4.557080,4.557080,4.557080,4.557080,-109.478821,0
1987-09-08,4.513590,4.513590,4.513590,4.513590,-108.434059,0
1987-09-09,4.513590,4.513590,4.513590,4.513590,-108.434059,0
1987-09-10,4.536200,4.536200,4.536200,4.536200,-108.977226,0
1987-09-11,4.559260,4.559260,4.559260,4.559260,-109.531219,0
1987-09-14,4.554910,4.554910,4.554910,4.554910,-109.426727,0
1987-09-15,4.629290,4.629290,4.629290,4.629290,-111.213638,0
1987-09-16,4.741070,4.741070,4.741070,4.741070,-113.899002,0
1987-09-17,4.830240,4.830240,4.830240,4.830240,-116.041214,0
1987-09-18,4.886350,4.886350,4.886350,4.886350,-117.389214,0
1987-09-21,4.958550,4.958550,4.958550,4.958550,-119.123726,0
1987-09-22,5.051630,5.051630,5.051630,5.051630,-121.359856,0
1987-09-23,5.099480,5.099480,5.099480,5.099480,-122.509430,0
1987-09-24,5.101650,5.101650,5.101650,5.101650,-122.561569,0
1987-09-25,5.134710,5.134710,5.134710,5.134710,-123.355782,0
1987-09-28,5.178210,5.178210,5.178210,5.178210,-124.400810,0
1987-09-29,5.265200,5.265200,5.265200,5.265200,-126.490669,0
1987-09-30,5.265200,5.265200,5.265200,5.265200,-126.490669,0
1987-10-01,5.221700,5.221700,5.221700,5.221700,-125.445618,0
1987-10-02,5.217350,5.217350,5.217350,5.217350,-125.341110,0
1987-10-05,5.279550,5.279550,5.279550,5.279550,-126.835403,0
1987-10-06,5.310430,5.310430,5.310430,5.310430,-127.577263,0
1987-10-07,5.310430,5.310430,5.310430,5.310430,-127.577263,0
1987-10-08,5.300430,5.300430,5.300430,5.300430,-127.337021,0
1987-10-09,5.300430,5.300430,5.300430,5.300430,-127.337021,0
1987-10-12,5.300430,5.300430,5.300430,5.300430,-127.337021,0
1987-10-13,5.269110,5.269110,5.269110,5.269110,-126.584595,0
1987-10-14,5.279550,5.279550,5.279550,5.279550,-126.835403,0
1987-10-15,5.256930,5.256930,5.256930,5.256930,-126.291985,0
1987-10-16,5.242150,5.242150,5.242150,5.242150,-125.936920,0
1987-10-19,5.176030,5.176030,5.176030,5.176030,-124.348434,0
1987-10-20,4.968990,4.968990,4.968990,4.968990,-119.374542,0
1987-10-21,4.968990,4.968990,4.968990,4.968990,-119.374542,0
1987-10-22,5.010310,5.010310,5.010310,5.010310,-120.367218,0
1987-10-23,4.865470,4.865470,4.865470,4.865470,-116.887581,0
1987-10-26,4.741070,4.741070,4.741070,4.741070,-113.899002,0
1987-10-27,4.534030,4.534030,4.534030,4.534030,-108.925087,0
1987-10-28,4.658430,4.658430,4.658430,4.658430,-111.913681,0
1987-10-29,4.565350,4.565350,4.565350,4.565350,-109.677551,0
1987-10-30,4.566220,4.566220,4.566220,4.566220,-109.698441,0
1987-11-02,4.607540,4.607540,4.607540,4.607540,-110.691124,0
1987-11-03,4.554910,4.554910,4.554910,4.554910,-109.426727,0
1987-11-04,4.447040,4.447040,4.447040,4.447040,-106.835274,0
1987-11-05,4.347870,4.347870,4.347870,4.347870,-104.452820,0
1987-11-06,4.152130,4.152130,4.152130,4.152130,-99.750359,0
1987-11-09,3.851140,3.851140,3.851140,3.851140,-92.519417,0
1987-11-10,3.861140,3.861140,3.861140,3.861140,-92.759651,0
1987-11-11,4.037300,4.037300,4.037300,4.037300,-96.991707,0
1987-11-12,4.097330,4.097330,4.097330,4.097330,-98.433868,0
1987-11-13,4.089060,4.089060,4.089060,4.089060,-98.235161,0
1987-11-16,4.140820,4.140820,4.140820,4.140820,-99.478668,0
1987-11-17,4.244340,4.244340,4.244340,4.244340,-101.965599,0
1987-11-18,4.213460,4.213460,4.213460,4.213460,-101.223755,0
1987-11-19,4.240000,4.240000,4.240000,4.240000,-101.861359,0
1987-11-20,4.192580,4.192580,4.192580,4.192580,-100.722145,0
1987-11-23,4.089930,4.089930,4.089930,4.089930,-98.256065,0
1987-11-24,4.203020,4.203020,4.203020,4.203020,-100.972961,0
1987-11-25,4.265220,4.265220,4.265220,4.265220,-102.467255,0
1987-11-26,4.306540,4.306540,4.306540,4.306540,-103.459908,0
1987-11-27,4.182150,4.182150,4.182150,4.182150,-100.471550,0
1987-11-30,4.254780,4.254780,4.254780,4.254780,-102.216431,0
1987-12-01,4.244340,4.244340,4.244340,4.244340,-101.965599,0
1987-12-02,4.253480,4.253480,4.253480,4.253480,-102.185204,0
1987-12-03,4.182150,4.182150,4.182150,4.182150,-100.471550,0
1987-12-04,4.153440,4.153440,4.153440,4.153440,-99.781845,0
1987-12-07,4.047740,4.047740,4.047740,4.047740,-97.242523,0
1987-12-08,null,null,null,null,null,null
1987-12-09,4.078620,4.078620,4.078620,4.078620,-97.984352,0
1987-12-10,4.056010,4.056010,4.056010,4.056010,-97.441185,0
1987-12-11,4.037300,4.037300,4.037300,4.037300,-96.991707,0
1987-12-14,3.954660,3.954660,3.954660,3.954660,-95.006363,0
1987-12-15,4.068190,4.068190,4.068190,4.068190,-97.733810,0
1987-12-16,4.265220,4.265220,4.265220,4.265220,-102.467255,0
1987-12-17,4.186500,4.186500,4.186500,4.186500,-100.576080,0
1987-12-18,4.206940,4.206940,4.206940,4.206940,-101.067139,0
1987-12-21,4.254780,4.254780,4.254780,4.254780,-102.216431,0
1987-12-22,4.213460,4.213460,4.213460,4.213460,-101.223755,0
1987-12-23,4.233910,4.233910,4.233910,4.233910,-101.715050,0
1987-12-24,null,null,null,null,null,null
1987-12-25,null,null,null,null,null,null
1987-12-28,4.231730,4.231730,4.231730,4.231730,-101.662674,0
1987-12-29,4.151260,4.151260,4.151260,4.151260,-99.729477,0
1987-12-30,4.058180,4.058180,4.058180,4.058180,-97.493324,0
1987-12-31,4.016430,4.016430,4.016430,4.016430,-96.490326,0
1988-01-01,null,null,null,null,null,null
1988-01-04,3.964670,3.964670,3.964670,3.964670,-95.246872,0
1988-01-05,4.020780,4.020780,4.020780,4.020780,-96.594841,0
1988-01-06,null,null,null,null,null,null
1988-01-07,4.091240,4.091240,4.091240,4.091240,-98.287544,0
1988-01-08,4.113860,4.113860,4.113860,4.113860,-98.830986,0
1988-01-11,4.026860,4.026860,4.026860,4.026860,-96.740898,0
1988-01-12,4.016430,4.016430,4.016430,4.016430,-96.490326,0
1988-01-13,4.103420,4.103420,4.103420,4.103420,-98.580170,0
1988-01-14,4.058180,4.058180,4.058180,4.058180,-97.493324,0
1988-01-15,4.058180,4.058180,4.058180,4.058180,-97.493324,0
1988-01-18,4.113860,4.113860,4.113860,4.113860,-98.830986,0
