Date,Open,High,Low,Close,Adj Close,Volume
2013-09-30,9.480000,9.720000,9.445000,9.480000,8.733355,1086845
2013-10-01,9.680000,9.695000,9.385000,9.680000,8.917604,5192224
2013-10-02,9.740000,9.855000,9.470000,9.600000,8.843904,4514339
2013-10-03,9.295000,9.610000,9.265000,9.295000,8.562926,4339221
2013-10-04,9.290000,9.445000,9.225000,9.290000,8.558320,5504530
2013-10-07,9.110000,9.315000,9.035000,9.110000,8.392496,4791692
2013-10-08,9.070000,9.285000,9.055000,9.200000,8.475409,3672737
2013-10-09,9.210000,9.365000,9.145000,9.350000,8.613594,3530244
2013-10-10,9.330000,9.435000,9.280000,9.330000,8.595170,2688068
2013-10-11,9.450000,9.490000,9.295000,9.480000,8.733355,2866196
2013-10-14,9.360000,9.400000,9.285000,9.300000,8.567533,2604092
2013-10-15,9.400000,9.425000,9.030000,9.140000,8.420134,5561113
2013-10-16,9.240000,9.265000,9.060000,9.095000,8.378678,3577543
2013-10-17,9.095000,9.110000,8.810000,9.000000,8.291161,4144817
2013-10-18,8.970000,9.035000,8.915000,8.935000,8.231280,3194670
2013-10-21,8.970000,9.090000,8.940000,9.020000,8.309585,2168880
2013-10-22,9.000000,9.230000,8.980000,9.180000,8.456984,3387364
2013-10-23,9.165000,9.200000,8.955000,9.010000,8.300374,2669058
2013-10-24,9.085000,9.190000,9.010000,9.190000,8.466196,2170787
2013-10-25,9.170000,9.170000,8.905000,8.930000,8.226674,2303491
2013-10-28,8.955000,9.065000,8.905000,9.045000,8.332617,2109118
2013-10-29,8.980000,9.175000,8.910000,8.930000,8.226674,3791171
2013-10-30,8.800000,9.005000,8.640000,9.005000,8.295766,5481006
2013-10-31,9.030000,9.050000,8.665000,8.710000,8.024001,7008553
2013-11-01,8.735000,8.740000,8.350000,8.365000,7.706173,6786196
2013-11-04,8.450000,8.565000,8.385000,8.410000,7.747629,3339597
2013-11-05,8.430000,8.440000,8.215000,8.310000,7.655505,3984439
2013-11-06,8.290000,8.390000,8.185000,8.300000,7.646293,3269436
2013-11-07,8.245000,8.530000,8.220000,8.420000,7.756841,6663205
2013-11-08,8.350000,8.450000,8.315000,8.395000,7.733811,3026486
2013-11-11,8.385000,8.390000,8.250000,8.330000,7.673930,2328466
2013-11-12,8.330000,8.385000,8.270000,8.380000,7.719992,1710722
2013-11-13,8.305000,8.430000,8.305000,8.385000,7.724598,2437890
2013-11-14,8.410000,8.555000,8.410000,8.495000,7.825934,2444086
2013-11-15,8.490000,8.520000,8.375000,8.430000,7.766054,2154519
2013-11-18,8.400000,8.520000,8.330000,8.470000,7.802904,3272118
2013-11-19,8.385000,8.435000,8.310000,8.320000,7.664718,2405195
2013-11-20,8.280000,8.540000,8.240000,8.495000,7.825934,5037370
2013-11-21,8.455000,8.455000,8.200000,8.375000,7.715385,3495071
2013-11-22,8.310000,8.400000,8.310000,8.390000,7.729205,2526954
2013-11-25,8.405000,8.510000,8.370000,8.440000,7.775267,3786902
2013-11-26,8.420000,8.450000,8.345000,8.390000,7.729205,2337934
2013-11-27,8.340000,8.480000,8.340000,8.395000,7.733811,2337529
2013-11-28,8.360000,8.470000,8.355000,8.460000,7.793690,2330667
2013-11-29,8.445000,8.495000,8.380000,8.415000,7.752235,2489600
2013-12-02,8.400000,8.420000,8.225000,8.260000,7.609443,2895678
