Date,Open,High,Low,Close,Adj Close,Volume
1999-11-02,6.525370,6.559800,6.370410,6.387630,1.973002,265917217
1999-11-03,6.370410,6.387630,6.267110,6.370410,1.967683,122797920
1999-11-04,6.370410,6.387630,6.318760,6.370410,1.967683,56860724
1999-11-05,6.335980,6.370410,6.335980,6.353200,1.962368,34415790
1999-11-08,6.353200,6.370410,6.318760,6.353200,1.962368,32464277
1999-11-09,6.335980,6.353200,6.335980,6.335980,1.957048,26598267
1999-11-10,6.335980,6.353200,6.301540,6.353200,1.962368,31727526
1999-11-11,null,null,null,null,null,null
1999-11-12,6.335980,6.353200,6.335980,6.335980,1.957048,22758997
1999-11-15,6.335980,6.353200,6.335980,6.335980,1.957048,13460888
1999-11-16,6.335980,6.370410,6.335980,6.335980,1.957048,14192579
1999-11-17,6.370410,6.559800,6.353200,6.439280,1.988956,38575870
1999-11-18,6.473720,6.508150,6.422070,6.456500,1.994274,19249310
1999-11-19,6.456500,6.473720,6.370410,6.439280,1.988956,15600975
1999-11-22,6.439280,6.439280,6.353200,6.404850,1.978320,10160014
1999-11-23,6.370410,6.387630,6.353200,6.370410,1.967683,7266984
1999-11-24,6.370410,6.439280,6.335980,6.422070,1.983639,14687795
1999-11-25,6.439280,6.490940,6.387630,6.439280,1.988956,25094742
1999-11-26,6.439280,6.456500,6.387630,6.422070,1.983639,14057306
1999-11-29,6.439280,6.473720,6.387630,6.439280,1.988956,18525378
1999-11-30,6.473720,6.559800,6.439280,6.508150,2.010229,103364423
1999-12-01,6.473720,6.542590,6.456500,6.508150,2.010229,27760742
1999-12-02,6.525370,6.542590,6.439280,6.525370,2.015547,16623453
1999-12-03,6.525370,6.525370,6.370410,6.404850,1.978320,21632281
1999-12-06,6.422070,6.439280,6.370410,6.370410,1.967683,14751889
1999-12-07,6.370410,6.387630,6.284330,6.318760,1.951729,9879347
1999-12-08,6.301540,6.318760,5.939980,6.043280,1.866640,17326808
1999-12-09,6.112150,6.232680,6.043280,6.215460,1.919823,17927948
1999-12-10,6.232680,6.267110,6.181020,6.267110,1.935776,7640420
1999-12-13,6.232680,6.456500,6.215460,6.404850,1.978320,8361653
1999-12-14,6.422070,6.456500,6.335980,6.404850,1.978320,7044676
1999-12-15,6.370410,6.422070,6.146590,6.181020,1.909185,8502324
1999-12-16,6.198240,6.387630,6.198240,6.335980,1.957048,14422983
1999-12-17,6.370410,6.456500,6.215460,6.215460,1.919823,15367536
1999-12-20,6.508150,6.508150,6.232680,6.284330,1.941094,82167655
1999-12-21,6.267110,6.267110,6.008850,6.077720,1.877277,23217780
1999-12-22,6.146590,6.181020,6.060500,6.112150,1.887913,22201375
1999-12-23,6.146590,6.198240,6.077720,6.198240,1.914504,7843161
1999-12-24,null,null,null,null,null,null
1999-12-27,6.146590,6.198240,6.077720,6.112150,1.887913,9063321
1999-12-28,6.094940,6.232680,6.094940,6.163810,1.903869,8382568
1999-12-29,6.163810,6.198240,6.094940,6.112150,1.887913,13975332
1999-12-30,6.112150,6.163810,6.094940,6.163810,1.903869,6047836
1999-12-31,null,null,null,null,null,null
2000-01-03,6.163810,6.198240,5.905550,5.974420,1.845370,14872994
2000-01-04,5.905550,5.905550,5.698940,5.767810,1.781553,22473608
2000-01-05,5.630070,5.888330,5.612850,5.647290,1.744327,23019087
2000-01-06,5.767810,5.957200,5.698940,5.785020,1.786869,11264803
2000-01-07,5.922760,5.957200,5.802240,5.871110,1.813460,13113090
2000-01-10,5.905550,5.939980,5.630070,5.785020,1.786869,15476834
2000-01-11,5.698940,5.698940,5.509550,5.595630,1.728370,24539817
2000-01-12,5.595630,5.853890,5.526760,5.819460,1.797507,19086712
2000-01-13,5.819460,5.939980,5.595630,5.698940,1.760280,19495905
2000-01-14,5.698940,5.991630,5.664500,5.922760,1.829413,23712996
2000-01-17,5.922760,5.939980,5.802240,5.819460,1.797507,14743793
2000-01-18,5.750590,5.802240,5.612850,5.716160,1.765599,17191534
2000-01-19,5.716160,6.008850,5.681720,5.957200,1.840051,20657030
2000-01-20,6.043280,6.353200,5.991630,6.335980,1.957048,37538211
2000-01-21,6.267110,6.663110,6.232680,6.335980,1.957048,74522176
2000-01-24,6.353200,6.353200,6.129370,6.163810,1.903869,19733393
2000-01-25,6.129370,6.163810,5.974420,6.026070,1.861324,21295616
2000-01-26,6.043280,6.094940,5.819460,5.888330,1.818778,19488484
2000-01-27,5.905550,5.922760,5.750590,5.888330,1.818778,18424513
2000-01-28,5.871110,6.181020,5.802240,5.905550,1.824098,16600176
2000-01-31,5.905550,6.129370,5.905550,6.129370,1.893231,12517010
2000-02-01,6.112150,6.129370,5.991630,6.129370,1.893231,9373337
2000-02-02,6.077720,6.129370,5.939980,6.112150,1.887913,9653329
2000-02-03,6.026070,6.129370,5.939980,6.060500,1.871958,12098371
2000-02-04,5.991630,6.077720,5.957200,5.991630,1.850686,14175375
2000-02-07,5.991630,6.008850,5.853890,5.957200,1.840051,11902714
2000-02-08,5.905550,6.163810,5.905550,5.991630,1.850686,30715842
2000-02-09,6.129370,6.198240,6.026070,6.112150,1.887913,27051653
2000-02-10,6.060500,6.129370,5.974420,6.043280,1.866640,16990479
2000-02-11,6.008850,6.043280,5.802240,5.922760,1.829413,21339807
2000-02-14,5.819460,6.060500,5.698940,6.060500,1.871958,23931592
2000-02-15,6.077720,6.112150,5.802240,5.802240,1.792188,19215238
2000-02-16,5.888330,6.112150,5.888330,6.094940,1.882596,30517486
2000-02-17,6.077720,6.335980,6.026070,6.249890,1.930457,31088266
2000-02-18,6.404850,6.404850,6.043280,6.077720,1.877277,35450750
2000-02-21,6.043280,6.112150,5.939980,6.008850,1.856005,12190127
2000-02-22,5.957200,6.026070,5.871110,5.905550,1.824098,20135840
2000-02-23,5.888330,6.232680,5.888330,6.198240,1.914504,25147029
2000-02-24,6.215460,6.249890,6.026070,6.043280,1.866640,13646088
2000-02-25,6.077720,6.404850,6.077720,6.335980,1.957048,24976672
2000-02-28,6.301540,6.370410,6.077720,6.129370,1.893231,15684298
2000-02-29,6.146590,6.163810,6.026070,6.060500,1.871958,13833649
2000-03-01,6.026070,6.318760,6.026070,6.284330,1.941094,18522679
2000-03-02,6.353200,6.404850,6.232680,6.404850,1.978320,23217106
2000-03-03,6.370410,6.439280,6.232680,6.422070,1.983639,29492309
2000-03-06,6.335980,6.422070,6.232680,6.404850,1.978320,13492598
2000-03-07,6.301540,6.422070,6.146590,6.232680,1.925141,15566903
2000-03-08,6.146590,6.318760,6.129370,6.232680,1.925141,11859197
2000-03-09,6.232680,6.387630,6.163810,6.353200,1.962368,12522745
2000-03-10,6.370410,6.525370,6.284330,6.370410,1.967683,19266177
2000-03-13,6.267110,6.318760,6.129370,6.129370,1.893231,17066381
2000-03-14,6.163810,6.404850,6.129370,6.387630,1.973002,16485481
2000-03-15,6.318760,6.422070,6.284330,6.387630,1.973002,17067055
2000-03-16,6.422070,6.766410,6.353200,6.680330,2.063411,78285879
2000-03-17,6.800850,7.093540,6.490940,7.093540,2.191042,121425631
