Date,Open,High,Low,Close,Adj Close,Volume
1995-11-29,5.422800,5.422800,5.422800,5.422800,2.123059,80
1995-11-30,5.412470,5.422800,5.412470,5.422800,2.123059,147
1995-12-01,5.412470,5.412470,5.200720,5.211050,2.040157,24
1995-12-04,5.092270,5.092270,5.092270,5.092270,1.993654,0
1995-12-05,5.102590,5.169730,5.097430,5.169730,2.023981,32
1995-12-06,5.164570,5.340160,5.154240,5.298850,2.074532,14
1995-12-07,5.273020,5.319510,5.262700,5.273020,2.064419,8
1995-12-08,null,null,null,null,null,null
1995-12-11,5.402140,5.402140,5.402140,5.402140,2.114970,0
1995-12-12,5.309180,5.412470,5.288520,5.402140,2.114970,14
1995-12-13,5.365990,5.422800,5.340160,5.396980,2.112950,14
1995-12-14,5.391810,5.536420,5.391810,5.474440,2.143276,250
1995-12-15,5.474440,5.536420,5.474440,5.520920,2.161473,2235250
1995-12-18,5.500270,5.572570,5.489940,5.526090,2.163498,2011000
1995-12-19,5.505430,5.639710,5.484770,5.639710,2.207980,3674750
1995-12-20,5.681030,5.825630,5.681030,5.763660,2.256507,15605750
1995-12-21,5.712010,5.722340,5.629380,5.670700,2.220113,3241250
1995-12-22,5.712010,5.737840,5.691350,5.727510,2.242355,1871500
1995-12-25,null,null,null,null,null,null
1995-12-26,null,null,null,null,null,null
1995-12-27,5.691350,5.717180,5.675860,5.706850,2.234266,936250
1995-12-28,5.665530,5.701680,5.644870,5.691350,2.228198,1369250
1995-12-29,5.639710,5.732670,5.634550,5.732670,2.244375,851250
1996-01-01,null,null,null,null,null,null
1996-01-02,5.701680,5.763660,5.644870,5.727510,2.242355,1267750
1996-01-03,5.732670,5.799810,5.712010,5.758490,2.254483,2871250
1996-01-04,5.732670,5.784320,5.717180,5.748170,2.250444,1768750
1996-01-05,5.706850,5.748170,5.650040,5.681030,2.224157,2425000
1996-01-08,5.681030,5.779150,5.681030,5.773990,2.260551,1813000
1996-01-09,5.794650,5.918600,5.794650,5.866950,2.296946,5524750
1996-01-10,5.804980,5.841130,5.773990,5.810140,2.274704,1764750
1996-01-11,5.779150,5.856620,5.732670,5.794650,2.268641,2324000
1996-01-12,5.784320,5.825630,5.768820,5.815310,2.276729,1385750
1996-01-15,5.804980,5.810140,5.660370,5.670700,2.220113,1552750
1996-01-16,5.712010,5.789480,5.691350,5.789480,2.266616,2106250
1996-01-17,5.856620,5.856620,5.753330,5.753330,2.252463,2627750
1996-01-18,5.944420,5.985740,5.908270,5.908270,2.313123,499750
1996-01-19,5.944420,6.099360,5.944420,6.089030,2.383892,4726750
1996-01-22,6.032220,6.094190,5.965080,5.985740,2.343453,3100750
1996-01-23,5.970240,6.037380,5.928920,5.996060,2.347493,2841500
1996-01-24,6.016720,6.073530,6.006390,6.058040,2.371760,2559500
1996-01-25,6.011560,6.058040,5.996060,6.032220,2.361650,1411750
1996-01-26,5.959910,5.980570,5.882440,5.918600,2.317168,1977750
1996-01-29,5.990900,6.063200,5.949580,6.047710,2.367715,1150500
1996-01-30,6.052880,6.125180,6.052880,6.109680,2.391976,2212750
1996-01-31,6.145840,6.166500,6.032220,6.099360,2.387936,2167750
1996-02-01,6.156170,6.218140,6.151000,6.192320,2.424330,3390500
1996-02-02,6.156170,6.249130,6.151000,6.218140,2.434439,1734500
1996-02-05,6.166500,6.207810,6.140670,6.151000,2.408154,1301750
1996-02-06,6.125180,6.254290,6.120010,6.233630,2.440503,2526000
1996-02-07,6.254290,6.290450,6.202650,6.233630,2.440503,1724000
1996-02-08,6.207810,6.300770,6.207810,6.300770,2.466789,2096500
1996-02-09,6.326600,6.352420,6.259460,6.285280,2.460725,2036750
1996-02-12,6.145840,6.218140,6.130340,6.130340,2.400065,2035250
1996-02-13,6.176830,6.373080,6.171660,6.373080,2.495099,2470250
1996-02-14,6.187150,6.187150,6.063200,6.089030,2.383892,4753500
1996-02-15,5.996060,6.083860,5.970240,6.011560,2.353562,4012750
1996-02-16,6.011560,6.114850,5.892770,5.913430,2.315144,3324250
1996-02-19,5.866950,5.866950,5.779150,5.810140,2.274704,1960000
1996-02-20,5.784320,5.784320,5.784320,5.784320,2.264596,0
1996-02-21,5.835960,6.021890,5.815310,6.016720,2.355582,2687500
1996-02-22,6.063200,6.063200,6.063200,6.063200,2.373779,0
1996-02-23,6.114850,6.161330,6.032220,6.083860,2.381868,2070000
1996-02-26,6.114850,6.114850,5.965080,6.006390,2.351538,1269750
1996-02-27,5.990900,6.042550,5.939250,6.037380,2.363671,975500
1996-02-28,6.094190,6.145840,6.068370,6.145840,2.406133,1207000
1996-02-29,6.125180,6.176830,6.011560,6.104520,2.389957,1065500
1996-03-01,6.120010,6.120010,5.996060,6.083860,2.381868,800750
1996-03-04,6.042550,6.151000,6.016720,6.145840,2.406133,1213000
1996-03-05,6.207810,6.249130,6.181990,6.212980,2.432419,2423750
1996-03-06,6.212980,6.212980,6.130340,6.135510,2.402089,1751500
1996-03-07,6.099360,6.207810,6.099360,6.171660,2.416242,2246000
1996-03-08,6.171660,6.187150,6.016720,6.094190,2.385911,2022000
1996-03-11,6.037380,6.037380,5.861790,5.908270,2.313123,3396000
1996-03-12,5.985740,5.985740,5.851460,5.887610,2.305035,2227500
1996-03-13,5.928920,6.006390,5.908270,5.923760,2.319188,1123750
1996-03-14,5.903100,5.996060,5.887610,5.985740,2.343453,1365500
1996-03-15,6.052880,6.145840,5.990900,6.027050,2.359626,10340500
1996-03-18,6.109680,6.109680,6.021890,6.042550,2.365695,500
1996-03-19,6.083860,6.161330,6.083860,6.114850,2.394001,1257000
1996-03-20,6.104520,6.156170,6.047710,6.145840,2.406133,1201250
1996-03-21,6.145840,6.187150,6.104520,6.104520,2.389957,1580250
1996-03-22,6.125180,6.125180,6.001230,6.016720,2.355582,1150250
1996-03-25,6.042550,6.047710,5.970240,6.027050,2.359626,1337250
1996-03-26,6.037380,6.037380,5.892770,5.903100,2.311099,1403500
1996-03-27,5.934090,5.959910,5.851460,5.908270,2.313123,2189750
1996-03-28,5.882440,5.913430,5.804980,5.908270,2.313123,3002500
1996-03-29,5.923760,5.923760,5.841130,5.882440,2.303011,2508500
1996-04-01,5.918600,5.939250,5.841130,5.877280,2.300991,1016250
1996-04-02,5.861790,5.913430,5.804980,5.882440,2.303011,1424500
1996-04-03,5.866950,5.918600,5.866950,5.892770,2.307055,1209000
1996-04-04,5.903100,6.052880,5.903100,6.047710,2.367715,1793750
1996-04-05,6.037380,6.052880,5.990900,5.990900,2.345474,522750
1996-04-08,null,null,null,null,null,null
1996-04-09,5.975410,6.114850,5.944420,6.109680,2.391976,1806000
1996-04-10,6.197480,6.362750,6.197480,6.352420,2.487010,5266000
1996-04-11,6.316270,6.517690,6.280120,6.321430,2.474878,5439250
1996-04-12,6.321430,6.507360,6.321430,6.507360,2.547670,3752750
1996-04-15,6.569330,6.662290,6.517690,6.517690,2.551715,4394500
1996-04-16,6.507360,6.600320,6.429890,6.435050,2.519361,2087750
1996-04-17,6.404070,6.424720,6.311100,6.336930,2.480946,1931500
1996-04-18,6.331760,6.466040,6.321430,6.460880,2.529473,2006250
1996-04-19,6.538340,6.538340,6.435050,6.491860,2.541602,6643500
1996-04-22,6.713940,6.837890,6.713940,6.812070,2.666966,5124750
1996-04-23,6.899860,7.178750,6.822400,6.899860,2.701336,6514000
1996-04-24,6.956670,7.116780,6.874040,7.106450,2.782217,3813250
1996-04-25,null,null,null,null,null,null
1996-04-26,7.106450,7.127110,6.858550,6.863710,2.687183,3402250
1996-04-29,6.868880,6.899860,6.781080,6.868880,2.689208,1756750
1996-04-30,6.992830,7.003160,6.853380,6.972170,2.729647,1817000
1996-05-01,null,null,null,null,null,null
1996-05-02,6.961840,6.997990,6.874040,6.889540,2.697296,2642750
1996-05-03,6.812070,6.920520,6.781080,6.899860,2.701336,1647250
1996-05-06,6.905030,6.936020,6.791410,6.817230,2.668987,958000
1996-05-07,6.889540,6.915360,6.843050,6.868880,2.689208,1294000
1996-05-08,6.822400,6.868880,6.812070,6.837890,2.677075,1301000
1996-05-09,6.905030,7.049640,6.863710,7.034140,2.753908,6371000
1996-05-10,7.023810,7.225230,6.977330,7.209740,2.822657,3224750
1996-05-13,7.220070,7.349180,7.183920,7.245890,2.836810,2733750
1996-05-14,7.333690,7.375000,7.235560,7.297540,2.857031,2232250
1996-05-15,7.282040,7.411160,7.261380,7.313030,2.863096,6423000
1996-05-16,7.333690,7.385330,7.287210,7.369840,2.885336,2337750
1996-05-17,7.354350,7.426650,7.333690,7.354350,2.879273,5929500
1996-05-20,7.416320,7.426650,7.313030,7.333690,2.871184,3012750
1996-05-21,7.359510,7.369840,7.282040,7.307860,2.861071,2999750
1996-05-22,7.302700,7.302700,7.225230,7.251060,2.838834,2140250
1996-05-23,7.271710,7.359510,7.261380,7.271710,2.846918,500
1996-05-24,7.282040,7.282040,7.230400,7.245890,2.836810,2259500
1996-05-27,7.282040,7.431820,7.282040,7.431820,2.909601,1460250
1996-05-28,7.540270,7.597080,7.447310,7.493790,2.933863,2881750
1996-05-29,7.540270,7.757180,7.504120,7.741690,3.030918,4605000
1996-05-30,7.850150,7.943110,7.664220,7.746850,3.032938,7199250
1996-05-31,7.798500,7.798500,7.540270,7.571260,2.964194,7406750
1996-06-03,7.612570,7.767510,7.431820,7.664220,3.000588,9745750
1996-06-04,7.597080,7.674550,7.535110,7.591920,2.972282,3619000
1996-06-05,7.643560,7.643560,7.519610,7.560930,2.960149,1826000
1996-06-06,7.550600,7.617740,7.529940,7.571260,2.964194,1611250
1996-06-07,7.581590,7.581590,7.436980,7.504120,2.937909,2567750
1996-06-10,7.488620,7.581590,7.462800,7.540270,2.952061,1957250
1996-06-11,7.555760,7.659060,7.493790,7.586750,2.970258,4976250
1996-06-12,7.643560,7.695210,7.591920,7.664220,3.000588,2101750
1996-06-13,7.643560,7.705540,7.560930,7.638400,2.990479,2181000
1996-06-14,7.597080,7.659060,7.571260,7.659060,2.998568,1907000
1996-06-17,7.545440,7.726190,7.545440,7.721030,3.022830,2702000
1996-06-18,7.736520,7.808830,7.695210,7.803660,3.055179,2500250
1996-06-19,7.839820,7.922450,7.752020,7.844980,3.071357,12189500
1996-06-20,7.865640,7.932780,7.850150,7.932780,3.105731,1704500
1996-06-21,7.798500,8.056730,7.798500,8.020580,3.140105,12929000
1996-06-24,7.752020,7.808830,7.684880,7.762350,3.039007,2235250
1996-06-25,7.824320,7.901790,7.788170,7.886300,3.087534,2425250
1996-06-26,7.850150,7.896630,7.824320,7.865640,3.079445,2368500
1996-06-27,7.850150,7.850150,7.757180,7.793330,3.051135,1319000
1996-06-28,7.798500,7.912120,7.783010,7.896630,3.091578,1616000
1996-07-01,7.922450,8.092880,7.829490,8.025740,3.142125,2555000
1996-07-02,8.051560,8.185840,8.046400,8.149690,3.190652,1603000
1996-07-03,8.160020,8.185840,7.881130,7.953440,3.113820,2782500
1996-07-04,8.025740,8.030900,7.839820,7.896630,3.091578,1737750
1996-07-05,7.906960,7.927610,7.721030,7.726190,3.024850,2208000
1996-07-08,7.648730,7.798500,7.648730,7.788170,3.049115,1796500
1996-07-09,7.788170,7.824320,7.752020,7.819160,3.061248,1583250
1996-07-10,7.839820,7.896630,7.824320,7.896630,3.091578,2235000
1996-07-11,7.932780,7.932780,7.829490,7.839820,3.069336,1767000
1996-07-12,7.798500,7.850150,7.746850,7.777840,3.045072,1921250
1996-07-15,7.736520,7.736520,7.473130,7.478300,2.927799,2224000
1996-07-16,7.385330,7.416320,7.261380,7.282040,2.850963,4323000
1996-07-17,7.369840,7.385330,7.199410,7.230400,2.830745,3522000
1996-07-18,7.287210,7.307860,7.225230,7.266550,2.844898,1897000
1996-07-19,7.302700,7.354350,7.251060,7.282040,2.850963,8952250
1996-07-22,7.297540,7.349180,7.189080,7.220070,2.826701,1144000
1996-07-23,7.230400,7.240730,7.049640,7.111610,2.784238,11800250
1996-07-24,7.127110,7.127110,6.868880,6.930850,2.713470,1990750
1996-07-25,6.951510,6.992830,6.775920,6.775920,2.652813,1434000
1996-07-26,6.786240,6.817230,6.662290,6.755260,2.644725,1881250
1996-07-29,6.739760,6.812070,6.672620,6.770750,2.650790,1397000
1996-07-30,6.713940,6.884370,6.610650,6.827560,2.673031,2134500
1996-07-31,6.822400,7.065130,6.822400,7.065130,2.766041,1973000
1996-08-01,7.096120,7.096120,6.961840,7.018650,2.747844,2950250
1996-08-02,7.096120,7.096120,6.997990,7.013480,2.745819,1525000
1996-08-05,7.039310,7.044470,6.925690,6.982500,2.733690,775500
1996-08-06,6.930850,6.967000,6.858550,6.874040,2.691228,1157000
