Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,36.754700,36.981098,35.509399,35.509399,28.215736,156483
2000-01-04,34.754700,35.584900,33.396198,35.584900,28.275730,300510
2000-01-05,33.509399,34.716900,33.358501,34.716900,27.586016,233333
2000-01-06,34.490501,35.811298,34.490501,35.245300,28.005882,83210
2000-01-07,35.396198,36.415100,34.641499,36.415100,28.935402,251750
2000-01-10,35.735802,37.698101,35.094299,35.207500,27.975843,290308
2000-01-11,35.547100,35.547100,34.264099,35.471699,28.185774,168938
2000-01-12,35.094299,35.094299,34.037701,34.716900,27.586016,115805
2000-01-13,34.415100,34.943401,33.735802,34.000000,27.016365,371663
2000-01-14,34.000000,34.000000,32.566002,33.283001,26.446636,187885
2000-01-17,33.018799,33.584900,32.452801,32.754700,26.026855,121768
2000-01-18,32.301800,33.207500,30.754700,30.981100,24.617552,324890
2000-01-19,30.301901,31.698099,30.000000,31.698099,25.187283,323565
2000-01-20,31.886801,31.886801,30.301901,30.792400,24.467615,237175
2000-01-21,30.566000,31.320700,30.566000,30.943399,24.587595,100303
2000-01-24,31.056601,31.547100,30.905600,30.905600,24.557560,125345
2000-01-25,30.188700,30.716900,29.886801,30.188700,23.987909,82548
2000-01-26,30.641500,30.754700,29.320700,29.433901,23.388149,85595
2000-01-27,30.188700,30.943399,29.735800,30.528299,24.257755,180863
2000-01-28,31.018801,31.018801,29.773600,30.716900,24.407616,107723
2000-01-31,29.735800,30.415100,29.245300,29.433901,23.388149,126273
2000-02-01,33.169800,33.207500,29.396200,32.641499,25.936905,251088
2000-02-02,32.830200,36.000000,31.056601,34.150902,27.136267,875958
2000-02-03,34.188599,34.867901,32.452801,32.452801,25.786968,371928
2000-02-04,31.962200,32.754700,31.773600,31.773600,25.247274,217433
2000-02-07,30.792400,33.018799,30.792400,31.433901,24.977350,146678
2000-02-08,35.094299,35.094299,32.075401,34.490501,27.406118,331515
2000-02-09,34.716900,35.056599,33.207500,33.962200,26.986336,284345
2000-02-10,33.056599,33.962200,32.754700,32.867901,26.116800,129585
2000-02-11,33.320702,34.226398,32.867901,33.773499,26.836391,194908
2000-02-14,33.207500,34.150902,32.679199,33.962200,26.986336,222468
2000-02-15,33.962200,34.339600,33.132000,33.245300,26.416681,105868
2000-02-16,33.962200,36.943401,33.735802,35.924500,28.545565,1204559
2000-02-17,36.792400,39.433899,36.226398,38.754700,30.794447,1691629
2000-02-18,39.396198,42.037701,38.566002,41.132000,32.683453,808118
2000-02-21,39.622601,42.226398,38.075401,42.226398,33.553051,389153
2000-02-22,41.132000,44.301800,40.566002,43.547100,34.602482,477530
2000-02-23,43.396198,45.735802,41.584900,41.584900,33.043316,516486
2000-02-24,42.452801,44.113201,40.641499,43.358501,34.452625,737231
2000-02-25,42.641499,43.283001,41.886700,42.075401,33.433075,429698
2000-02-28,41.396198,42.188599,41.132000,41.509399,32.983326,128658
2000-02-29,41.811298,43.207500,41.811298,41.924500,33.313164,295873
2000-03-01,43.018799,46.113201,41.811298,42.264099,33.583012,320385
2000-03-02,42.264099,46.415100,42.264099,46.415100,36.881393,549611
2000-03-03,47.358398,49.056499,45.283001,47.698101,37.900867,403198
2000-03-06,46.754700,50.377300,46.603699,49.056499,38.980251,257183
2000-03-07,46.792400,48.301800,44.150902,45.283001,35.981831,221010
