Date,Open,High,Low,Close,Adj Close,Volume
2014-07-02,4.000000,4.018000,3.872000,4.000000,3.575217,37618205
2014-07-03,4.016000,4.244000,4.006000,4.170000,3.727164,15526109
2014-07-04,4.198000,4.296000,4.106000,4.140000,3.700350,7037223
2014-07-07,4.168000,4.194000,4.010000,4.040000,3.610969,4890620
2014-07-08,4.088000,4.090000,3.980000,3.980000,3.557341,3934812
2014-07-09,4.010000,4.090000,4.010000,4.040000,3.610969,2068122
2014-07-10,4.042000,4.080000,3.902000,4.042000,3.612757,2625626
2014-07-11,4.042000,4.126000,4.052000,4.080000,3.646721,1659902
2014-07-14,4.134000,4.134000,4.012000,4.104000,3.668173,1142572
2014-07-15,4.114000,4.114000,4.052000,4.052000,3.621695,758994
2014-07-16,4.078000,4.130000,4.054000,4.130000,3.691412,1049624
2014-07-17,4.116000,4.130000,4.070000,4.094000,3.659235,542461
2014-07-18,4.074000,4.130000,4.040000,4.056000,3.625271,609384
2014-07-21,4.062000,4.100000,4.024000,4.100000,3.664598,651634
2014-07-22,4.100000,4.128000,4.080000,4.096000,3.661023,774519
2014-07-23,4.094000,4.110000,4.074000,4.086000,3.652085,338795
2014-07-24,4.106000,4.108000,4.058000,4.080000,3.646721,1014724
2014-07-25,4.084000,4.090000,4.058000,4.068000,3.635996,707650
2014-07-28,4.076000,4.076000,4.000000,4.038000,3.609182,1049037
2014-07-29,4.050000,4.050000,3.980000,3.990000,3.566279,1490181
2014-07-30,4.006000,4.006000,3.912000,3.950000,3.530527,1968716
2014-07-31,3.950000,3.962000,3.860000,3.920000,3.503713,2642139
2014-08-01,3.884000,3.944000,3.850000,3.884000,3.471536,2561993
2014-08-04,3.932000,3.936000,3.884000,3.932000,3.514439,704644
2014-08-05,3.932000,3.982000,3.916000,3.964000,3.543040,787804
2014-08-06,3.982000,3.994000,3.872000,3.900000,3.485837,1858560
2014-08-07,3.930000,3.930000,3.830000,3.834000,3.426846,653268
2014-08-08,3.820000,3.864000,3.512000,3.824000,3.417907,1496186
2014-08-11,3.834000,3.910000,3.834000,3.898000,3.484049,394414
2014-08-12,3.928000,3.940000,3.878000,3.880000,3.467961,993096
2014-08-13,3.880000,3.900000,3.786000,3.826000,3.419695,1515826
2014-08-14,3.820000,3.836000,3.800000,3.808000,3.403607,223403
2014-08-18,3.808000,3.872000,3.808000,3.866000,3.455447,428078
2014-08-19,3.866000,3.934000,3.850000,3.900000,3.485837,447741
2014-08-20,3.912000,3.968000,3.860000,3.902000,3.487624,358497
2014-08-21,3.902000,3.930000,3.902000,3.928000,3.510863,341389
2014-08-22,3.920000,3.960000,3.900000,3.928000,3.510863,918631
2014-08-25,3.938000,3.960000,3.910000,3.936000,3.518014,533351
2014-08-26,3.940000,3.964000,3.912000,3.932000,3.514439,1060718
2014-08-27,3.938000,3.950000,3.920000,3.934000,3.516227,594986
2014-08-28,3.940000,3.948000,3.920000,3.940000,3.521589,339528
2014-08-29,3.924000,3.966000,3.924000,3.960000,3.539465,299083
2014-09-01,3.950000,3.968000,3.914000,3.966000,3.544828,263246
2014-09-02,3.952000,3.970000,3.944000,3.952000,3.532315,261482
2014-09-03,3.952000,3.986000,3.944000,3.972000,3.550191,592217
2014-09-04,3.972000,4.170000,3.972000,4.120000,3.682474,4962277
