Date,Open,High,Low,Close,Adj Close,Volume
2016-11-07,4.062000,4.278000,3.910000,3.970000,3.800704,35612427
2016-11-08,3.968000,3.988000,3.836000,3.836000,3.672418,11933789
2016-11-09,3.734000,3.786000,3.548000,3.570000,3.417761,21739065
2016-11-10,3.482000,3.582000,3.312000,3.320000,3.178422,25466044
2016-11-11,3.210000,3.512000,3.172000,3.332000,3.189910,30431584
2016-11-14,3.350000,3.360000,3.172000,3.210000,3.073113,20054402
2016-11-15,3.200000,3.286000,3.162000,3.162000,3.027160,14428295
2016-11-16,3.184000,3.214000,3.166000,3.200000,3.063540,7415318
2016-11-17,3.178000,3.234000,3.104000,3.136000,3.002269,12484141
2016-11-18,3.144000,3.180000,3.114000,3.160000,3.025245,9571640
2016-11-21,3.146000,3.160000,3.106000,3.134000,3.000354,4499554
2016-11-22,3.128000,3.248000,3.126000,3.228000,3.090345,6390924
2016-11-23,3.278000,3.300000,3.240000,3.266000,3.126725,7099278
2016-11-24,3.264000,3.298000,3.260000,3.290000,3.149702,2202715
2016-11-25,3.290000,3.342000,3.280000,3.342000,3.199484,5224516
2016-11-28,3.300000,3.370000,3.294000,3.332000,3.189910,5610251
2016-11-29,3.390000,3.408000,3.346000,3.374000,3.230119,7328944
2016-11-30,3.362000,3.394000,3.354000,3.376000,3.232034,6618545
2016-12-01,3.352000,3.360000,3.300000,3.340000,3.197569,5666890
2016-12-02,3.330000,3.338000,3.250000,3.270000,3.130554,6033410
2016-12-05,3.240000,3.310000,3.200000,3.218000,3.080772,5833873
2016-12-06,3.200000,3.418000,3.200000,3.410000,3.264584,6586280
2016-12-07,3.420000,3.514000,3.404000,3.514000,3.364149,6839861
2016-12-08,3.520000,3.576000,3.458000,3.576000,3.423505,6100234
2016-12-09,3.570000,3.574000,3.522000,3.524000,3.373723,4376808
2016-12-12,3.514000,3.526000,3.428000,3.432000,3.285646,5168471
2016-12-13,3.432000,3.540000,3.414000,3.528000,3.377553,5589161
2016-12-14,3.574000,3.618000,3.520000,3.534000,3.383296,7212643
2016-12-15,3.540000,3.638000,3.490000,3.636000,3.480947,7461224
2016-12-16,3.676000,3.680000,3.598000,3.598000,3.444567,6356152
2016-12-19,3.600000,3.674000,3.588000,3.674000,3.517326,4092166
2016-12-20,3.692000,3.766000,3.692000,3.766000,3.605403,5873476
2016-12-21,3.760000,3.764000,3.664000,3.676000,3.519241,4189580
2016-12-22,3.692000,3.714000,3.626000,3.650000,3.494350,3208639
2016-12-23,3.670000,3.690000,3.664000,3.672000,3.515412,1759291
2016-12-27,3.672000,3.714000,3.662000,3.714000,3.555620,1256671
