Date,Open,High,Low,Close,Adj Close,Volume
2009-12-03,4.550000,4.970000,4.370000,4.660000,4.660000,9847190
2009-12-04,4.722500,5.000000,4.722500,4.935000,4.935000,4090435
2009-12-07,5.050000,5.340000,4.930000,5.290000,5.290000,1628031
2009-12-08,5.310000,5.580000,4.957500,5.050000,5.050000,2161510
2009-12-09,5.025000,5.200000,4.805000,4.880000,4.880000,1060471
2009-12-10,4.880000,5.050000,4.830000,5.020000,5.020000,533096
2009-12-11,5.020000,5.075000,4.812500,4.890000,4.890000,416969
2009-12-14,4.810000,4.952500,4.735000,4.830000,4.830000,361275
2009-12-15,4.875000,4.900000,4.742500,4.900000,4.900000,258111
2009-12-16,4.895000,4.895000,4.730000,4.852500,4.852500,525857
2009-12-17,4.860000,4.860000,4.725000,4.810000,4.810000,197395
2009-12-18,4.820000,4.862500,4.750000,4.750000,4.750000,113976
2009-12-21,4.820000,4.820000,4.625000,4.630000,4.630000,241755
2009-12-22,4.622500,4.830000,4.622500,4.830000,4.830000,397541
2009-12-23,4.827500,4.880000,4.735000,4.877500,4.877500,182179
2009-12-28,4.872500,4.872500,4.830000,4.870000,4.870000,61341
2009-12-29,4.850000,5.100000,4.800000,5.050000,5.050000,319064
2009-12-30,5.025000,5.245000,4.952500,5.220000,5.220000,496493
2010-01-04,5.220000,5.785000,5.130000,5.690000,5.690000,1123233
2010-01-05,5.715000,6.025000,5.660000,5.885000,5.885000,1514310
2010-01-06,5.935000,5.975000,5.750000,5.760000,5.760000,265305
2010-01-07,5.700000,6.000000,5.685000,5.910000,5.910000,686789
2010-01-08,6.015000,6.085000,5.620000,5.910000,5.910000,676767
2010-01-11,5.910000,5.985000,5.750000,5.760000,5.760000,370448
2010-01-12,5.730000,5.845000,5.490000,5.600000,5.600000,286089
2010-01-13,5.545000,5.650000,5.505000,5.650000,5.650000,153634
2010-01-14,5.750000,5.780000,5.685000,5.780000,5.780000,288730
2010-01-15,5.835000,5.840000,5.650000,5.655000,5.655000,348381
2010-01-18,5.850000,5.880000,5.750000,5.840000,5.840000,518682
2010-01-19,5.860000,5.880000,5.625000,5.735000,5.735000,402186
2010-01-20,5.715000,5.735000,5.550000,5.650000,5.650000,172778
2010-01-21,5.650000,5.730000,5.350000,5.415000,5.415000,542727
2010-01-22,5.435000,5.485000,5.200000,5.280000,5.280000,399363
2010-01-25,5.280000,5.620000,5.240000,5.605000,5.605000,292470
2010-01-26,5.605000,5.700000,5.430000,5.700000,5.700000,278310
2010-01-27,5.740000,5.870000,5.690000,5.730000,5.730000,649526
2010-01-28,5.860000,5.890000,5.600000,5.610000,5.610000,253414
2010-01-29,5.595000,5.700000,5.420000,5.560000,5.560000,228599
2010-02-01,5.610000,5.750000,5.500000,5.630000,5.630000,149615
2010-02-02,5.710000,5.710000,5.560000,5.580000,5.580000,77140
2010-02-03,5.600000,5.705000,5.430000,5.430000,5.430000,204025
2010-02-04,5.450000,5.540000,5.250000,5.295000,5.295000,202108
2010-02-05,5.210000,5.450000,4.997500,5.280000,5.280000,568012
2010-02-08,5.400000,5.510000,5.155000,5.300000,5.300000,287211
2010-02-09,5.440000,5.550000,5.230000,5.230000,5.230000,575414
2010-02-10,5.335000,5.370000,5.210000,5.250000,5.250000,205094
2010-02-11,5.305000,5.305000,5.160000,5.220000,5.220000,146599
2010-02-12,5.290000,5.290000,5.090000,5.095000,5.095000,152197
2010-02-15,5.100000,5.350000,5.100000,5.320000,5.320000,228373
2010-02-16,5.340000,5.400000,5.270000,5.370000,5.370000,137849
2010-02-17,5.400000,5.410000,5.125000,5.410000,5.410000,275715
2010-02-18,5.410000,5.410000,5.305000,5.330000,5.330000,80620
2010-02-19,5.320000,5.390000,5.255000,5.375000,5.375000,109558
