date,link,summary,summary_polarity,title,title_polarity
2010-01-04 16:51:50,https://www.bloomberg.com/news/articles/2010-01-04/italian-stocks-azimut-pirelli-re-popolare-prysmian-tenaris," 7 percent in November from the previous month, the Semiconductor Industry Association said. Tenaris SA (TEN IM), the world’s largest maker of seamless pipes used to extract oil and gas, rose 40... ",0.1333," Italian Stocks: Azimut, Pirelli Re, Popolare, Prysmian, Tenaris ",0.0
2010-01-13 07:39:15,https://www.bloomberg.com/news/articles/2010-01-12/eni-fiat-unicredit-italian-equity-preview-for-jan-13," euros. The brokerage kept a ""neutral"" rating. The shares declined 1.8 percent to 6.22 euros. Tenaris SA (TEN IM): UBS AG lifted its price projection on ADRs of the world’s largest maker of seamless... ",0.05," Ansaldo, Eni, Fiat, Pop. Milano, Tenaris: Italy Equity Preview ",0.0
2010-01-13 09:00:09,https://www.bloomberg.com/news/articles/2010-01-13/italian-november-industrial-production-rose-less-than-expected," Sicily in 2012, the automaker’s Chief Executive Officer Sergio Marchionne confirmed this week. Tenaris SA, the world’s biggest maker of seamless- steel tubes for pipelines, agreed on Dec. 29 with... ",0.25, Italian November Industrial Production Rose Less Than Expected ,0.0833
2010-01-14 08:35:49,https://www.bloomberg.com/news/articles/2010-01-14/italian-stocks-atlantia-bulgari-eni-mediaset-tenaris-seat," will improve and bolster the economy, fueling consumption in the world’s biggest energy user. Tenaris SA (TEN IM), the world’s largest maker of seamless pipes used to extract oil and gas, rose 36... ",0.2333," Italian Stocks: CIR, Pirelli, Tenaris, Seat, STMicro, UniCredit ",0.0
2010-02-01 05:00:00,https://www.bloomberg.com/news/articles/2010-02-01/banco-popolare-enel-eni-snai-tenaris-italy-equity-preview," Argentina, Il Sole 24 Ore reported. The stock gained 3 cents, or 2.9 percent, to 1.09 euros. Tenaris SA (TEN IM): Revenue at the world’s largest maker of seamless pipes used to extract oil and gas... ",0.0333," Banco Popolare, Enel, Eni, SNAI, Tenaris: Italy Equity Preview ",0.0
2010-02-12 11:24:21,https://www.bloomberg.com/news/articles/2010-02-12/italian-stocks-campari-buzzi-eni-pirelli-popolare-snam," company to set a date for meeting its medium-term objective for an operating margin of 10 percent. Tenaris SA (TEN IM), the world’s largest maker of seamless pipes used to extract oil and gas, declined... ",0.0333," Italian Stocks: Buzzi, Eni, Eutelia, Fiat, Indesit, Popolare ",0.0
2010-02-16 08:51:11,https://www.bloomberg.com/news/articles/2010-02-16/italian-stocks-fiat-intesa-saipem-tenaris-telecom-italia," Citigroup Inc. downgraded Europe’s largest oilfield-services provider to ""sell"" from ""hold."" Tenaris SA (TEN IM) gained 21 cents, or 1.3 percent, to 16.41 euros, a second consecutive increase. Credit... ",0.0," Italian Stocks: Eni, Mediolanum, Saipem, Tenaris, UniCredit ",0.0
2010-02-22 11:48:40,https://www.bloomberg.com/news/articles/2010-02-22/italian-stocks-beni-stabili-cir-mediolanum-telecom-italia," as the option of merging with Telefonica SA has been ""frozen,"" Corriere della Sera reported. Tenaris SA (TEN IM), the world’s largest maker of seamless pipes used to extract oil and gas, gained... ",0.05," Italian Stocks: Beni Stabili, Pirelli, Telecom Italia, Tenaris ",0.0
2010-02-23 12:00:07,https://www.bloomberg.com/news/articles/2010-02-23/a2a-cir-edison-exor-intesa-ubi-italian-equity-preview," report forecast to show rising fuel supplies in the U.S., the world’s largest energy consumer. Tenaris SA (TEN IM) slid 45 cents, or 2.6 percent, to 16.92 euros, ending a six-session increase. The... ",0.0," Italian Stocks: Edison, Saipem, Telecom Italia, Tenaris, UBI ",0.0
2010-02-24 07:26:42,https://www.bloomberg.com/news/articles/2010-02-24/italian-stocks-pirelli-popolare-stmicroelectronics-tenaris," be ""significantly lower"" than the second half of 2009. Tenaris is scheduled to release results today after the closing of U.S market. Tenaris shares lost 3.3 percent to 16.8 euros. Unione di Banche... ",0.0694," Danieli, FastWeb, L’Espresso, Mediobanca: Italy Equity Preview ",0.0
2010-02-25 11:34:23,https://www.bloomberg.com/news/articles/2010-02-25/generali-italcementi-parmalat-tenaris-italy-equity-preview," ""evaluate the situation."" Cheuvreux kept an ""underperform"" rating, citing ""low visibility."" Tenaris SA (TEN IM) fell 80 cents, or 4.7 percent, to 16.24 euros, the lowest in more than a week. The... ",0.1667," Italian Stocks: Intesa, Mediaset, Telecom Italia, Tenaris ",0.0
2010-02-26 08:41:38,https://www.bloomberg.com/news/articles/2010-02-26/italian-stocks-banco-popolare-geox-parmalat-piaggio-saras," that ""a recovery in refining margins is expected but is shifted to the second half of 2010.’ Tenaris SA (TEN IM) gained 40 cents, or 2.7 percent, to 15.46 euros. Exane BNP Paribas lifted its price... ",-0.0667," Italian Stocks: Banco Popolare, Parmalat, Saras, and Tenaris ",0.0
2010-03-05 22:23:23,https://www.bloomberg.com/news/articles/2010-03-05/north-and-south-american-stock-rating-changes-new-coverage, rating   15 -------------------------------------------------------------------------------- Tenaris Sa-Adr  (TS US) Raymond James Analyst               Recommendation    Action       Target Ricardo... ,0.1," North and South American Stock Rating Changes, New Coverage ",0.0682
